1
cute_image.jpg
1
nice_music.ogg
220 1360 sheet.png
5441 990 sheet.png
5
373 1355 65 65 caixa.png
1511 789 65 65 caixa.png
3512 973 65 65 caixa.png
5538 994 65 65 caixa.png
5168 1081 65 65 caixa.png
0
43
239 0 221 482
239 480 37 163
409 482 51 55
276 620 354 23
630 503 110 117
832 503 111 117
631 621 312 22
943 620 278 23
1159 267 347 24
1305 151 110 116
1505 151 108 116
1613 16 416 275
42 1421 403 402
445 1477 204 346
649 1332 112 491
761 1586 110 237
871 1332 112 491
984 1586 401 237
1385 855 189 968
1574 974 455 849
1733 856 296 117
1836 737 193 118
2029 1225 600 599
2627 1103 682 721
3308 974 63 850
3372 1039 359 784
3731 1189 362 634
4093 955 146 867
3901 682 338 272
4239 1072 182 752
4421 962 252 861
4674 1059 172 764
4845 1146 122 677
4965 1296 1124 528
5136 1146 953 150
5319 1059 770 86
5694 371 395 687
5932 14 157 357
4673 371 173 354
4421 371 252 434
3592 371 829 172
3514 801 78 119
0 0 42 1824

